               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  44,            0.031762,            0.011862,           0.0021675,             0.92128,             0.88046,             0.92147,             0.62978,            0.026201,            0.010658,            0.001109,           0.0016592,           0.0016592,           0.0016592
                  45,            0.031539,             0.01178,           0.0017268,             0.92748,             0.89999,             0.93163,             0.62612,            0.026455,            0.010599,           0.0011053,           0.0016378,           0.0016378,           0.0016378
                  46,            0.031169,            0.011277,           0.0017888,             0.92546,             0.89403,             0.92582,             0.62844,             0.02581,            0.010495,           0.0010932,           0.0016164,           0.0016164,           0.0016164
                  47,            0.031695,            0.011801,           0.0029459,             0.93983,              0.8706,             0.92807,              0.6314,            0.025615,            0.010513,           0.0011414,            0.001595,            0.001595,            0.001595
                  48,            0.031079,            0.011707,           0.0021187,             0.93702,             0.88985,             0.93159,             0.64345,            0.025345,            0.010392,            0.001109,           0.0015735,           0.0015735,           0.0015735
                  49,            0.031094,            0.011631,           0.0018243,             0.93256,             0.90167,             0.93487,             0.64612,            0.025125,            0.010377,           0.0011012,           0.0015521,           0.0015521,           0.0015521
                  50,            0.030924,            0.011525,           0.0019073,             0.93614,             0.88125,             0.93388,             0.64526,            0.025092,             0.01039,           0.0010022,           0.0015307,           0.0015307,           0.0015307
                  51,            0.030642,            0.011246,           0.0017285,              0.9214,             0.89132,             0.93723,             0.64665,            0.025422,            0.010362,           0.0010124,           0.0015093,           0.0015093,           0.0015093
                  52,            0.030853,            0.011635,            0.002778,             0.93063,             0.91402,             0.94513,             0.65508,            0.024847,            0.010144,           0.0010633,           0.0014879,           0.0014879,           0.0014879
                  53,            0.030267,            0.011384,            0.004103,               0.936,             0.88975,             0.94048,             0.65325,            0.024719,            0.010184,          0.00099582,           0.0014665,           0.0014665,           0.0014665
                  54,            0.030062,            0.011278,           0.0017294,             0.93054,              0.9094,             0.94591,             0.65822,            0.024715,            0.010144,          0.00096042,           0.0014451,           0.0014451,           0.0014451
                  55,            0.029725,            0.011217,           0.0016127,             0.94047,             0.89449,             0.93847,             0.65461,             0.02451,            0.010065,           0.0010024,           0.0014236,           0.0014236,           0.0014236
                  56,            0.029482,            0.010914,           0.0016581,             0.93905,             0.91336,             0.94393,             0.65247,            0.024743,            0.010114,           0.0010027,           0.0014022,           0.0014022,           0.0014022
                  57,            0.030129,            0.011642,           0.0021779,             0.94519,             0.90753,             0.94337,              0.6667,            0.024119,            0.010047,            0.001046,           0.0013808,           0.0013808,           0.0013808
                  58,            0.029361,            0.011256,           0.0029781,             0.94508,              0.9066,             0.94654,             0.66928,            0.023893,           0.0099968,           0.0010309,           0.0013594,           0.0013594,           0.0013594
                  59,            0.029766,            0.011208,           0.0018018,             0.94347,             0.90776,             0.94483,             0.66598,            0.024045,            0.010049,          0.00094481,            0.001338,            0.001338,            0.001338
                  60,            0.028919,            0.011055,           0.0022644,             0.94102,             0.90749,             0.94947,             0.67648,             0.02367,           0.0098318,          0.00095938,           0.0013166,           0.0013166,           0.0013166
                  61,            0.028983,            0.010936,            0.001557,             0.93252,             0.91926,             0.94768,             0.66796,            0.024034,           0.0099092,           0.0010079,           0.0012952,           0.0012952,           0.0012952
                  62,             0.02853,            0.010813,           0.0015087,             0.94622,             0.90142,             0.94614,              0.6712,            0.023928,           0.0098187,          0.00097288,           0.0012737,           0.0012737,           0.0012737
                  63,            0.029097,            0.010915,            0.001643,             0.94887,             0.89026,             0.94701,             0.67503,            0.023601,           0.0098796,          0.00096349,           0.0012523,           0.0012523,           0.0012523
                  64,            0.028681,            0.011034,           0.0015102,             0.94059,             0.91587,             0.94781,             0.67797,            0.023489,           0.0098291,           0.0010014,           0.0012309,           0.0012309,           0.0012309
                  65,            0.028516,            0.010586,           0.0015788,             0.95422,             0.91742,             0.95288,              0.6799,             0.02327,           0.0096677,            0.001066,           0.0012095,           0.0012095,           0.0012095
                  66,            0.028662,            0.011106,           0.0029294,             0.94685,             0.92655,             0.95273,             0.68236,            0.023318,            0.009801,          0.00098016,           0.0011881,           0.0011881,           0.0011881
                  67,            0.028053,            0.010641,           0.0028573,             0.94425,              0.9328,             0.95712,             0.68896,             0.02303,           0.0096729,          0.00088531,           0.0011667,           0.0011667,           0.0011667
                  68,            0.027693,             0.01049,           0.0015057,             0.93819,             0.92612,             0.95085,             0.68629,            0.022902,           0.0095997,          0.00091133,           0.0011453,           0.0011453,           0.0011453
                  69,            0.027582,            0.010711,            0.001396,             0.94495,             0.93054,             0.95383,              0.6894,             0.02272,           0.0095075,          0.00098752,           0.0011238,           0.0011238,           0.0011238
                  70,            0.027413,            0.010703,           0.0014482,             0.94859,             0.91714,             0.95098,             0.68776,            0.022892,            0.009596,          0.00091351,           0.0011024,           0.0011024,           0.0011024
                  71,            0.027279,            0.010536,           0.0028895,             0.94067,             0.92051,             0.94988,             0.68841,            0.022822,            0.009571,           0.0010347,            0.001081,            0.001081,            0.001081
                  72,            0.027355,            0.010429,           0.0014699,             0.94778,             0.91915,             0.95073,             0.69146,            0.022823,           0.0095565,          0.00094645,           0.0010596,           0.0010596,           0.0010596
                  73,            0.027471,            0.010542,           0.0014381,             0.94384,             0.91905,             0.95062,             0.69182,            0.022844,           0.0095345,          0.00096765,           0.0010382,           0.0010382,           0.0010382
                  74,            0.027064,              0.0103,           0.0013966,             0.94917,             0.91878,             0.94911,             0.68632,            0.022886,           0.0095411,          0.00094825,           0.0010168,           0.0010168,           0.0010168
                  75,            0.027231,            0.010297,           0.0014552,             0.94957,             0.92635,             0.95437,              0.6961,            0.022479,           0.0093836,          0.00091758,          0.00099536,          0.00099536,          0.00099536
                  76,            0.026943,            0.010385,           0.0015633,             0.95328,             0.92601,              0.9545,             0.70011,            0.022202,           0.0094406,          0.00093306,          0.00097395,          0.00097395,          0.00097395
                  77,            0.026599,            0.010456,           0.0013434,             0.95471,             0.92848,             0.95834,             0.70453,            0.022259,           0.0093452,          0.00097007,          0.00095254,          0.00095254,          0.00095254
